equipamento,endereco,tipo_posto,id_tipo_posto,id_distrito,distrito,id_crs,crs,data_hora,indice_fila,status_fila,coronavac,astrazeneca,pfizer,intercambialidade,janssen,influenza,pfizer_ped,corona_ped,id_tb_unidades
UBS RECANTO VERDE SOL,"ESTRADA DOS FIDELIS, 10 - RECANTO VERDE SOL - CEP: 08382505 - Tel: 2734-3271",POSTO FIXO,1,17,Iguatemi,2,LESTE,2022-08-22 16:09:52.300,3,FILA MÉDIA,1,,1,0,1,1,1,1,66
UBS DR. ATUALPA GIRÃO RABELO,"R. ILHA DO ARVOREDO, 10 - VL MORGADO - CEP: 08140-270 - Tel: 4780-5087/ 2963-2634",POSTO FIXO,1,18,Itaim Paulista,2,LESTE,2022-08-22 15:58:38.987,3,FILA MÉDIA,1,1,1,0,0,1,1,1,69
AMA/UBS INTEGRADA PARADA XV DE NOVEMBRO,"R. IBIAJARA, 804 - PARADA XI DE NOVEMBRO - CEP: 08246-101 - Tel: 2286-0017/ 2071-3232",POSTO FIXO,1,19,Itaquera,2,LESTE,2022-08-22 16:20:35.253,3,FILA MÉDIA,1,1,1,0,0,1,1,1,76
UBS JD ROMANO VILA ITAIM,"R. RIO MANUEL ALVES, 182 - ITAIM PAULISTA - CEP: 08190-450 - Tel: 2581-3737/ 3678-5222",POSTO FIXO,1,20,Jardim Helena,2,LESTE,2022-08-22 15:56:49.380,3,FILA MÉDIA,1,1,1,1,0,1,1,1,87
UBS JARDIM AURORA,"AV. CLAUDIO DA COSTA, 54 - GUAIANASES - CEP: 08431-160 - Tel: 4780-5093/ 2035-1671",POSTO FIXO,1,22,Lajeado,2,LESTE,2022-08-22 15:45:49.130,3,FILA MÉDIA,1,1,,1,0,1,1,1,94
AMA/UBS INTEGRADA JARDIM INDEPENDÊNCIA - HERMENEGILDO MORBIN JUNIOR,"R. PLANALTO DE CONQUISTA, 80 - JD INDEPENDÊNCIA - CEP: 03223-170 - Tel: 2115-3761/ 2211-2772",POSTO FIXO,1,28,São Lucas,2,LESTE,2022-08-22 17:29:09.030,3,FILA MÉDIA,1,1,1,0,1,1,1,1,119
UBS REUNIDAS I,"R. SÃO JOSE DAS ESPINHARAS, 400 - VL INDUSTRIAL - CEP: 03249-030 - Tel: 2702-5924/ 2143-8183",POSTO FIXO,1,28,São Lucas,2,LESTE,2022-08-22 15:50:27.907,3,FILA MÉDIA,1,1,1,0,1,1,1,1,122
UBS JARDIM CARRÃOZINHO,"R. MARCOS GONCALVES CORREIA, 25 - JD VILA CARRÃO - CEP: 08340-320 - Tel: 2754-0622",POSTO FIXO,1,31,São Rafael,2,LESTE,2022-08-22 16:00:14.200,3,FILA MÉDIA,1,1,1,0,1,1,1,1,139
UBS PARQUE SÃO RAFAEL - DRA. ORA ROSEN,"R. DR ARISTIDES RICARDO, 313 - PQ SÃO RAFAEL - CEP: 08311- 270 - Tel: 2919-5006",POSTO FIXO,1,31,São Rafael,2,LESTE,2022-08-22 16:00:36.780,3,FILA MÉDIA,1,1,1,0,,1,1,1,142
UBS IAÇAPE - JARDIM PLANALTO,"R. IAÇAPÉ, 302 - PQ SANTA MADALENA - CEP: 03983-090 - Tel: 2703-1198/ 2703-1191",POSTO FIXO,1,32,Sapopemba,2,LESTE,2022-08-22 15:50:52.817,3,FILA MÉDIA,1,1,1,0,1,1,1,1,148
UBS JARDIM ROBRU - MESSIAS JOSE DA SILVA,"R. JOSÉ MARIA ALVES DE DEUS, 288 - JD ROBRU - CEP: 08150- 350 - Tel: 4780-5042/ 2035-2406",POSTO FIXO,1,34,Vila Curuçá,2,LESTE,2022-08-22 15:54:46.917,3,FILA MÉDIA,1,1,1,1,0,1,1,1,164
AMA/UBS INTEGRADA PARQUE ANHANGUERA,"R. PIERRE RENOIR - VIA ANHANGUERA KM 24,5, 100 - JD BRITANIA - CEP: 05269-030 - Tel: 3916-6160/ 3916-6375",POSTO FIXO,1,39,Anhanguera,3,NORTE,2022-08-22 17:00:36.580,3,FILA MÉDIA,1,1,1,0,1,1,1,1,189
UBS JARDIM ROSINHA,"R. DALVA DE OLIVEIRA, 82 - MORRO DOCE - CEP: 05274-001 - Tel: 3916-4100/ 3911-3141",POSTO FIXO,1,39,Anhanguera,3,NORTE,2022-08-22 16:52:52.740,3,FILA MÉDIA,1,1,1,0,1,1,1,1,190
UBS  JARDIM ELISA MARIA,"R. RÔMULO NALDI, 57 - JD ELISA MARIA - CEP: 02873-250 - Tel: 38514684",POSTO FIXO,1,40,Brasilândia,3,NORTE,2022-08-22 15:52:37.873,3,FILA MÉDIA,1,1,1,1,1,1,1,1,193
UBS SILMARYA REJANE M.DE SOUZA,"R. EUVALDO AUGUSTO FREIRE, 20 - BRASILÂNDIA - CEP: 02855-030 - Tel: 3921-1078/ 3923-1520",POSTO FIXO,1,40,Brasilândia,3,NORTE,2022-08-22 15:56:09.877,3,FILA MÉDIA,1,1,1,1,1,,1,1,204
AMA/UBS INTEGRADA PERUS,"PRAÇA VIGARIO JOÃO GONÇALVES DE LIMA, 239 - PERUS - CEP: 05208-260 - Tel: 3917-0707/ 3917-6245",POSTO FIXO,1,48,Perus,3,NORTE,2022-08-22 17:35:09.877,3,FILA MÉDIA,1,1,1,0,1,1,1,1,242
UBS PARQUE NOVO MUNDO I,"R. BENEDITA DORNELAS CLARO, 451 - PQ NOVO MUNDO - CEP: 02168-020 - Tel: 2954-1747/ 3475-8700/ 3475-8703/ 3475-8714",POSTO FIXO,1,55,Vila Maria,3,NORTE,2022-08-22 16:05:10.100,3,FILA MÉDIA,1,1,1,0,1,1,1,1,274
UBS VILA MARIA - DR. LUIZ PAULO GNECCO,"R. ANDRÉ DA FONSECA, 70 - VL MUNHOZ - CEP: 02135-010 - Tel: 3475-5201/ 3475-5203/2201-7751",POSTO FIXO,1,55,Vila Maria,3,NORTE,2022-08-22 16:07:09.677,3,FILA MÉDIA,1,1,1,0,1,1,1,1,276
UBS DR. JOSÉ DE BARROS MAGALDI,"R. SALVADOR CARDOSO, 177 - ITAIM BIBI - CEP: 04533-050 - Tel: 3168-6571/ 3167-0837",POSTO FIXO,1,59,Itaim Bibi,4,OESTE,2022-08-22 17:20:50.887,3,FILA MÉDIA,1,1,1,0,1,1,1,1,285
UBS VILA IPOJUCA - DRA. WANDA COELHO DE MORAES,"R. CATÃO, 1266 - LAPA - CEP: 05049-000 - Tel: 3676-1399/ 3676- 1394",POSTO FIXO,1,62,Lapa,4,OESTE,2022-08-22 16:58:00.830,3,FILA MÉDIA,1,1,1,1,1,1,1,1,292
UBS JARDIM VERA CRUZ - PERDIZES,"R. SARAMENHA, 60 - PERDIZES - CEP: 01259-030 - Tel: 3673- 8552/ 3801-4278",POSTO FIXO,1,64,Perdizes,4,OESTE,2022-08-22 15:45:32.567,3,FILA MÉDIA,1,1,1,0,1,1,,1,295
UBS PARQUE DA LAPA,"R. BERGSON, 52 - PQ DA LAPA - CEP: 05301-060 - Tel: 3836- 8029/ 3644-8989",POSTO FIXO,1,68,Vila Leopoldina,4,OESTE,2022-08-22 16:00:32.263,3,FILA MÉDIA,1,1,1,0,1,1,1,1,307
UBS ALTO DO UMUARAMA,"R. ODEMIS, 468 - JD UMUARAMA - CEP: 05783-180 - Tel: 5816- 3342/ 5819-5730",POSTO FIXO,1,72,Campo Limpo,5,SUL,2022-08-22 17:58:40.327,3,FILA MÉDIA,1,1,1,0,1,1,1,1,314
UBS ARRASTÃO - DR. FRANCISCO SCALAMANDRE SOBRINHO,"R. DR JOVIANO PACHECO AGUIRRE, 255 - CAMPO LIMPO - CEP: 05788-290 - Tel: 5841-2654/ 5844-4839",POSTO FIXO,1,72,Campo Limpo,5,SUL,2022-08-22 17:55:36.637,3,FILA MÉDIA,1,1,1,0,0,1,1,1,315
UBS CAMPO LIMPO,"R. JORGE OZZI, 211 - JD CATANDUVA - CEP: 05767-450 - Tel: 5841-1871/ 5841-5260",POSTO FIXO,1,72,Campo Limpo,5,SUL,2022-08-22 18:10:07.313,3,FILA MÉDIA,1,1,1,0,1,1,1,1,316
AMA/UBS INTEGRADA PQ FERNANDA,"R. ERNESTO SOARES FILHO, 301 - PQ FERNANDA - CEP: 05888- 070 - Tel: 5821-1632/ 5824-6721",POSTO FIXO,1,73,Capão Redondo,5,SUL,2022-08-22 17:53:22.920,3,FILA MÉDIA,1,1,1,0,1,1,1,,322
UBS JARDIM VALQUIRIA,"AV. CARLOS LACERDA, 3093 - JD VALQUIRIA - CEP: 05789-001 - Tel: 5825-6166",POSTO FIXO,1,73,Capão Redondo,5,SUL,2022-08-22 16:58:48.337,3,FILA MÉDIA,1,1,1,0,1,1,1,1,331
UBS PARQUE ENGENHO II,"AV. DOM RODRIGO SANCHES, 700 - PQ ENGENHO - CEP: 05892- 360 - Tel: 5821-2274/ 5825-5124",POSTO FIXO,1,73,Capão Redondo,5,SUL,2022-08-22 17:55:39.120,3,FILA MÉDIA,1,1,1,0,1,1,1,1,333
AMA/UBS INTEGRADA VILA JOANIZA - JOÃO YUNES,"R. LUIS VIVES, 85 - VL JOANIZA - CEP: 04404-150 - Tel: 5622- 0844/ 5626-2428",POSTO FIXO,1,74,Cidade Ademar,5,SUL,2022-08-22 15:53:53.427,3,FILA MÉDIA,1,1,1,0,1,1,1,1,337
AMA/UBS INTEGRADA VILA MISSIONÁRIA,"R. RAINHA DAS MISSOES, 515 - VL MISSIONÁRIA - CEP: 04430- 100 - Tel: 5612-2270/ 5612-9815",POSTO FIXO,1,74,Cidade Ademar,5,SUL,2022-08-22 15:56:55.523,3,FILA MÉDIA,1,1,1,0,1,1,1,1,338
UBS JARDIM SÃO CARLOS - CIDADE ADEMAR,"R. CLAUDIA MUZIO, 163 - JD SÃO CARLOS - CEP: 04429-280 - Tel: 5621-9200/ 5623-9273",POSTO FIXO,1,74,Cidade Ademar,5,SUL,2022-08-22 16:29:43.370,3,FILA MÉDIA,1,1,1,0,1,1,1,1,342
UBS JARDIM UMUARAMA,"R. ANTONIO GIL, 721 - VL FILOMENA - CEP: 04655-000 - Tel: 5563-9070/ 5566-1611",POSTO FIXO,1,74,Cidade Ademar,5,SUL,2022-08-22 16:01:22.050,3,FILA MÉDIA,1,1,1,0,1,1,1,1,343
UBS VILA CONSTÂNCIA - DR VICENTE OCTAVIO GUIDA,"R. HERMENEGILDO MARTINI, S/Nº - VL CONSTÂNCIA - CEP: 04657-010 - Tel: 5562-6944/ 5562-6957",POSTO FIXO,1,74,Cidade Ademar,5,SUL,2022-08-22 16:03:17.230,3,FILA MÉDIA,1,1,1,0,1,1,1,1,345
AMA/ UBS INTEGRADA JD ICARAÍ QUINTANA,"Rua São Roque do Paraguaçu, 190 - Vila Quintana  CEP: 04837-150",POSTO FIXO,1,75,Cidade Dutra,5,SUL,2022-08-22 16:00:51.780,3,FILA MÉDIA,1,1,1,0,1,1,1,1,1607
AMA/UBS INTEGRADA JARDIM MIRNA,"R. DR JUVENAL HUDSON FERREIRA, 13 - JD MIRNA - CEP: 04856-140 - Tel: 5527-8798/ 5526-5175",POSTO FIXO,1,77,Grajaú,5,SUL,2022-08-22 16:37:38.510,3,FILA MÉDIA,1,1,1,0,1,0,1,1,359
UBS ANCHIETA,"R. ALZIRO PINHEIRO MAGALHAES, 638 - PQ SÃO RAFAEL - CEP: 04855000 - Tel: 5928-1837",POSTO FIXO,1,77,Grajaú,5,SUL,2022-08-22 16:05:56.433,3,FILA MÉDIA,1,1,1,0,1,1,1,1,361
UBS JARDIM LUCELIA,"AV. CARLOS BARBOSA DOS SANTOS, 895 - JD LUCELIA - CEP: 04852220 - Tel: 5528-5660",POSTO FIXO,1,77,Grajaú,5,SUL,2022-08-22 17:08:48.583,3,FILA MÉDIA,1,1,1,1,1,1,1,1,368
UBS JARDIM TRÊS CORAÇÕES,"R. GENERAL JOSÉ DE OLIVEIRA RAMOS, 275 - JD TRÊS CORAÇÕES - CEP: 04855-330 - Tel: 5528-6223/ 5931-5969",POSTO FIXO,1,77,Grajaú,5,SUL,2022-08-22 16:09:04.327,3,FILA MÉDIA,1,1,1,0,1,1,1,1,370
UBS CIDADE IPAVA,"AV. TAQUANDAVA, 31 - CIDADE IPAVA - CEP: 04950-000 - Tel: 5898-5300/ 5899-7497",POSTO FIXO,1,80,Jardim Ângela,5,SUL,2022-08-22 17:59:14.110,3,FILA MÉDIA,1,1,1,0,1,1,1,1,394
UBS HORIZONTE AZUL,"R. ALBERGATI CAPACELLI, 2200 - HORIZONTE AZUL - CEP: 04963-000 - Tel: 5517-3860/ 5517-3469",POSTO FIXO,1,80,Jardim Ângela,5,SUL,2022-08-22 17:57:12.270,3,FILA MÉDIA,1,1,1,0,1,1,1,1,395
AMA/UBS INTEGRADA JARDIM ALFREDO,"R. DINAR, 51 - JD ALFREDO - CEP: 04913-120 - Tel: 5514-6355",POSTO FIXO,1,81,Jardim São Luis,5,SUL,2022-08-22 17:50:19.763,3,FILA MÉDIA,1,1,1,0,1,1,1,1,408
UBS JARDIM SOUZA,"R. FRANCISCO DE ALMEIDA SOUZA, 481 - JARDIM SOUZA - CEP: 04917070 - Tel: 5514-6430",POSTO FIXO,1,81,Jardim São Luis,5,SUL,2022-08-22 17:58:36.310,3,FILA MÉDIA,1,1,1,0,1,1,1,1,415
UBS JARDIM IPORÃ,"R. FORTE DE VILA BELA, 29 - JARDIM IPORA - CEP: 04865170 - Tel: 59223053",POSTO FIXO,1,84,Parelheiros,5,SUL,2022-08-22 16:00:55.890,3,FILA MÉDIA,1,1,1,0,1,1,1,1,430
UBS VARGEM GRANDE,"R. DAS ARARAS, 49 - VARGEM GRANDE - CEP: 04896-260 - Tel: 5921-2111/ 5920-0261",POSTO FIXO,1,84,Parelheiros,5,SUL,2022-08-22 15:53:18.393,3,FILA MÉDIA,1,1,1,0,1,1,1,1,437
UBS MATA VIRGEM,"ESTRADA DA SAUDE, 47 - ELDORADO - CEP: 04476-540 - Tel: 5673-4455/ 5673-4477",POSTO FIXO,1,85,Pedreira,5,SUL,2022-08-22 15:56:15.130,3,FILA MÉDIA,1,1,1,0,1,1,1,1,447
UBS SANTA CECÍLIA - HUMBERTO PASCALE,"R. VITORINO CARMILO, 599 - CAMPOS ELÍSEOS - CEP: 01153- 000 - Tel: 3826-0096/ 3826-7970",POSTO FIXO,1,4,Santa Cecília,1,CENTRO,2022-08-22 18:00:52.963,2,FILA PEQUENA,1,1,1,0,1,1,1,1,6
UBS ANTONIO ESTEVÃO DE CARVALHO,"R. JAPANI, 7 - CIDADE AE CARVALHO - CEP: 08220-130 - Tel: 2280-2373/ 2043-3400",POSTO FIXO,1,8,Artur Alvim,2,LESTE,2022-08-22 15:50:47.440,2,FILA PEQUENA,1,1,1,0,1,1,1,1,17
UBS JARDIM SÃO NICOLAU,"R. BROOK TAYLOR, 30 - JD NORDESTE - CEP: 03690000 - Tel: 2280-7508/ 2280-1508",POSTO FIXO,1,8,Artur Alvim,2,LESTE,2022-08-22 15:49:53.577,2,FILA PEQUENA,1,1,1,0,1,1,1,1,19
UBS JARDIM SANTA TEREZINHA,"AV. DOS LATINOS, 205 - JD SANTA TEREZINHA - CEP: 03572- 000 - Tel: 2721-1815/ 2725-0711",POSTO FIXO,1,13,Cidade Líder,2,LESTE,2022-08-22 15:54:40.807,2,FILA PEQUENA,1,1,1,0,1,1,1,1,36
UBS CASTRO ALVES,"R. CADERNO DE VIAGEM, 55 - COHAB CASTRO ALVES - CEP: 08474-170 - Tel: 4780-5077/ 2282-0320",POSTO FIXO,1,14,Cidade Tiradentes,2,LESTE,2022-08-22 15:59:54.290,2,FILA PEQUENA,1,1,1,0,0,1,1,1,40
UBS VILA PARANAGUÁ,"R. JOSÉ GOES NOGUEIRA, 70 - VL PARANAGUÁ - CEP: 03807- 380 - Tel: 2943-8044/ 2546-0098",POSTO FIXO,1,15,Ermelino Matarazzo,2,LESTE,2022-08-22 15:53:37.677,2,FILA PEQUENA,1,1,1,0,0,1,1,1,55
AMA/UBS INTEGRADA JARDIM DA CONQUISTA III,"TRAVESSA SOMOS TODOS IGUAIS, 330 - SÃO MATEUS - CEP: 08343-000 - Tel: 2735-4202",POSTO FIXO,1,17,Iguatemi,2,LESTE,2022-08-22 16:00:52.217,2,FILA PEQUENA,1,1,1,0,1,1,1,1,60
AMA/UBS INTEGRADA JARDIM HELENA,"AV. KUMAKI AOKI, 785 - JD HELENA - CEP: 08090-370 - Tel: 2581- 1661/ 2586-2971",POSTO FIXO,1,20,Jardim Helena,2,LESTE,2022-08-22 12:06:54.220,2,FILA PEQUENA,1,1,1,1,0,1,1,1,84
AMA/UBS INTEGRADA PARQUE PAULISTANO,"R. SILVEIRA PIRES, 265 - PARQUE PAULISTANO - CEP: 08080- 160 - Tel: 2025-9469/ 2025-9468",POSTO FIXO,1,20,Jardim Helena,2,LESTE,2022-08-22 15:51:57.243,2,FILA PEQUENA,1,1,1,1,0,1,1,1,85
AMA/UBS INTEGRADA JOSÉ BONIFÁCIO I,"AV. PROF. OSVALDO DE OLIVEIRA, 610 - JD HELENA - CEP: 08420-280 - Tel: 2557-8844/ 2557-5136",POSTO FIXO,1,21,José Bonifácio,2,LESTE,2022-08-22 15:55:33.360,2,FILA PEQUENA,1,1,1,0,0,1,1,0,89
UBS JOSE BONIFACIO II,"R. MURMÚRIOS DA TARDE, 30 - COHAB JOSE BONIFÁCIO - CEP: 08253-580 - Tel: 2521-1226/ 2521-5325",POSTO FIXO,1,21,José Bonifácio,2,LESTE,2022-08-22 16:00:55.453,2,FILA PEQUENA,1,1,1,0,0,1,1,1,92
UBS JARDIM BANDEIRANTES,"R. PACHECO ARANHA, 4 - GUAIANASES - CEP: 08450-410 - Tel: 4780-5027/ 2557-5273",POSTO FIXO,1,22,Lajeado,2,LESTE,2022-08-22 16:08:11.353,2,FILA PEQUENA,1,1,1,0,0,1,1,1,95
UBS JARDIM ETELVINA,"R. MANUEL TEODORO XAVIER, 138 - GUAIANASES - CEP: 08430-570 - Tel: 4780-5071/ 2035-1756",POSTO FIXO,1,22,Lajeado,2,LESTE,2022-08-22 15:48:19.130,2,FILA PEQUENA,1,1,1,1,0,1,1,1,96
UBS PRIMEIRO DE OUTUBRO,"TRAVESSA AÇUCENA DO BREJO, 16 B - JD LOURDES - CEP: 08441-010 - Tel: 2035-8010/ 4780-5032",POSTO FIXO,1,22,Lajeado,2,LESTE,2022-08-22 15:54:20.523,2,FILA PEQUENA,1,1,1,1,0,1,1,1,99
UBS SANTA LUZIA,"R. CONJUNTO DA PAZ, 39 - JD MIRIAM - CEP: 08142-360 - Tel: 2569-1887/ 4780-5031",POSTO FIXO,1,22,Lajeado,2,LESTE,2022-08-22 15:41:39.027,2,FILA PEQUENA,1,1,1,0,0,1,1,1,100
UBS VILA CHABILÂNDIA,"ESTRADA DO LAGEADO VELHO, 392 - LAJEADO - CEP: 08451- 000 - Tel: 4780-5092/ 2557-9571",POSTO FIXO,1,22,Lajeado,2,LESTE,2022-08-22 15:45:30.737,2,FILA PEQUENA,1,1,1,0,0,1,1,1,101
UBS BURGO PAULISTA,"R. JOSÉ SILVA ALCANTARA FILHO, 210 - BURGO PAULISTA - CEP: 03680-000 - Tel: 2280-0080/ 2046-8809",POSTO FIXO,1,27,Ponte Rasa,2,LESTE,2022-08-22 15:48:04.533,2,FILA PEQUENA,1,1,1,0,0,1,1,1,114
UBS PARQUE SÃO LUCAS,"R. DR NOGUEIRA DE NORONHA, 322 - PQ SÃO LUCAS - CEP: 03239-080 - Tel: 2918-3595/ 2211-2503",POSTO FIXO,1,28,São Lucas,2,LESTE,2022-08-22 17:54:49.070,2,FILA PEQUENA,1,1,1,1,0,1,1,1,121
AMA/UBS INTEGRADA JARDIM TIETE I - OSCAR PEREIRA DA SILVA,"AV. ENGENHO NOVO, 120 - JD TIETÊ - CEP: 03943-020 - Tel: 2017-1431",POSTO FIXO,1,29,São Mateus,2,LESTE,2022-08-22 15:59:31.647,2,FILA PEQUENA,1,1,1,0,1,1,1,1,125
UBS CIDADE SATÉLITE - SANTA BARBARA,"R. SOL, 45 - CIDADE SATÉLITE STA. BARBARA - CEP: 08330-360 - Tel: 2919-5857/ 2012-8262",POSTO FIXO,1,29,São Mateus,2,LESTE,2022-08-22 16:05:08.180,2,FILA PEQUENA,1,1,1,0,1,1,1,1,126
UBS JARDIM COLORADO - DR. JOSÉ PIRES,"R. DR JOSÉ DE ARAÚJO VIEIRA, 61 - SÃO RAFAEL - CEP: 08310- 240 - Tel: 2754-2382/ 2751-6474",POSTO FIXO,1,31,São Rafael,2,LESTE,2022-08-22 16:06:05.903,2,FILA PEQUENA,1,1,1,0,1,1,1,1,140
AMA/UBS INTEGRADA JARDIM GRIMALDI,"R. PEDRO DE CASTRO VELHO, 523 - VL BANCÁRIA - CEP: 03921-000 - Tel: 2216-8076/ 2302-2424",POSTO FIXO,1,32,Sapopemba,2,LESTE,2022-08-22 15:50:59.893,2,FILA PEQUENA,1,1,1,0,1,1,1,1,145
UBS FAZENDA DA JUTA II,"R. AUGUSTIN LUBERTI (ANTIGA AV. DOIS), 1102 - FAZENDA DA JUTA - CEP: 03977-000 - Tel: 2015-3444/ 2015-3439",POSTO FIXO,1,32,Sapopemba,2,LESTE,2022-08-22 15:57:43.527,2,FILA PEQUENA,1,1,1,0,1,1,1,1,147
UBS IGUAÇU,"AV. DO ORATÓRIO, 6557 - VL INDUSTRIAL - CEP: 03221-300 - Tel: 2701-7213/ 2702-5934",POSTO FIXO,1,32,Sapopemba,2,LESTE,2022-08-22 15:55:18.140,2,FILA PEQUENA,1,1,1,0,1,1,1,1,149
UBS JARDIM SAPOPEMBA,"R. JOÃO LOPES DE LIMA, 1151 - JARDIM SAPOPEMBA - CEP: 03976-020 - Tel: 2019-7077/ 2019-6305",POSTO FIXO,1,32,Sapopemba,2,LESTE,2022-08-22 15:56:40.130,2,FILA PEQUENA,1,1,1,0,0,1,1,1,151
UBS REUNIDAS II,"AV. DA CASA GRANDE, 1258 - VL UNIÃO - CEP: 03260-000 - Tel: 2706-0555/ 2143-1356",POSTO FIXO,1,32,Sapopemba,2,LESTE,2022-08-22 15:54:47.430,2,FILA PEQUENA,1,1,1,0,1,1,1,1,156
UBS TEOTONIO VILELA,"AV. ARQUITETO VILANOVA ARTIGAS, 1071 - JD SAPOPEMBA - CEP: 03928-240 - Tel: 2704-1383/ 2704-1340",POSTO FIXO,1,32,Sapopemba,2,LESTE,2022-08-22 15:57:21.713,2,FILA PEQUENA,1,1,1,0,1,1,1,1,158
UBS JARDIM CAMPOS,"R. CRESCENTE, 97 - ITAIM PAULISTA - CEP: 08160-080 - Tel: 2035-4922/ 3808-2655",POSTO FIXO,1,34,Vila Curuçá,2,LESTE,2022-08-22 11:56:43.270,2,FILA PEQUENA,1,1,1,0,0,1,1,1,163
UBS JARDIM SILVA TELLES,"R. JOSÉ ALEXANDRE MACHADO, 541 - ITAIM PAULISTA - CEP: 08160-460 - Tel: 4780-5044/ 2561-8034",POSTO FIXO,1,34,Vila Curuçá,2,LESTE,2022-08-22 16:00:12.540,2,FILA PEQUENA,1,1,1,0,0,1,1,1,165
UBS MORRO DOCE,"R. ALBERTO CALIX, 55 - JD CANAÃ - CEP: 05267-030 - Tel: 3916- 2059",POSTO FIXO,1,39,Anhanguera,3,NORTE,2022-08-22 16:54:25.827,2,FILA PEQUENA,1,1,1,0,1,1,1,1,192
UBS JARDIM VISTA ALEGRE,"R. IBIRAIARAS, 21 - BRASILÂNDIA - CEP: 02878-080 - Tel: 3983- 1197/ 3982-0651",POSTO FIXO,1,40,Brasilândia,3,NORTE,2022-08-22 15:51:45.070,2,FILA PEQUENA,1,1,1,0,1,1,1,0,201
UBS CASA VERDE ALTA,"R. LAVINIO SALES ARCURI, 120 - CASA VERDE ALTA - CEP: 02564-000 - Tel: 3858-8592/ 3966-9572",POSTO FIXO,1,42,Casa Verde,3,NORTE,2022-08-22 15:47:21.687,2,FILA PEQUENA,1,1,1,0,1,1,1,1,212
AMA/UBS INTEGRADA JARDIM IPANEMA,"R. PEDRO RAVARA, 11-A - JARAGUÁ - CEP: 05187-300 - Tel: 3941-3457/ 3941-2119",POSTO FIXO,1,45,Jaraguá,3,NORTE,2022-08-22 15:56:40.910,2,FILA PEQUENA,1,1,1,0,1,1,1,1,227
